X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
12,11,16.0,1,11.9,16,3.9,29,5,2,1220,7,2.98,211.66,3
21,13,15.8,1,11.8,18,4,44.9,2,3,717,10,5.61,515.18,15
19,3,17.0,6,13.9,22,3.8,37.7,0,4,758,11,2.29,177.11,13
24,14,15.2,0,10.2,22,4.1,40.7,1,3,1012,9,1.16,107,7
23,2,17.5,4,14.8,22,3.8,38,1,4,339,11,3.96,234.97,10
14,11,15.4,2,13.1,31,3.9,44.1,3,4,503,10,0.19,150.28,1
7,13,16.1,1,13.7,21,4,45.6,24,3,446,10,4.04,504.35,11
2,2,16.6,4,14.9,22,3.9,46,24,3,620,10,1.26,107.68,9
5,7,16.3,4,12.8,27,3.9,34,4,3,596,11,8.44,766.72,15
24,11,16.2,1,13.4,15,3.4,21.7,56,3,346,8,7.57,871.45,13
21,14,15.4,3,13.6,21,3.4,22.6,4,3,1161,9,0.69,173.77,6
2,1,15.8,0,11.1,16,3.9,60.5,0,3,749,8,0.36,38.43,14
19,11,15.7,2,9.7,29,4.1,24.6,0,3,1030,6,2.81,35.98,13
16,14,15.3,3,13.8,28,3.7,30.5,1,3,384,7,5.52,516.37,1
19,5,15.7,0,11.1,11,3.7,45,0,3,740,10,1.54,64.69,5
7,7,15.1,0,12.6,15,3.5,26.2,18,3,563,8,3.22,453.81,15
24,14,15.9,0,13.6,19,3.9,44.2,1,2,603,8,6.38,557.03,9
23,3,15.4,1,10.3,24,3.9,49.2,0,2,662,6,0.60,58.57,7
12,4,14.9,1,9.7,19,3.9,35.8,0,3,287,7,1.21,125.34,3
16,4,15.4,0,11.5,18,3.9,32.8,1,4,935,9,3.65,432.74,2
21,7,15.9,0,10.8,21,3.7,34.3,1,2,1278,7,2.49,180.8,6
23,5,15.9,4,11.5,20,3.5,44.8,0,3,745,10,0.41,27.01,10
14,13,16.7,5,10.4,25,3.8,32.9,0,4,1059,9,3.63,251.98,11
3,7,15.5,2,10.9,24,4.1,29.9,1,3,646,9,4.58,393.47,2
5,7,14.8,1,12.8,23,4.1,36.3,0,2,764,7,0.34,24.5,15
12,11,16.7,0,11.6,19,3.8,42.7,0,3,669,10,0.27,58.81,2
16,14,14.8,0,13.1,17,3.9,37.4,0,2,494,7,1.45,43.55,12
2,2,16.2,0,9.2,21,3.9,44.4,4,3,457,9,3.89,515.01,9
21,5,16.1,2,14.5,20,3.9,37.7,0,3,799,8,0.81,62.98,15
5,13,16.3,4,13.7,24,3.8,44,0,4,590,11,2.72,305.35,11
15,14,16.2,3,11,22,3.8,40,0,3,391,10,0.43,17.28,7
5,13,17.2,4,16.8,23,3.9,38.5,74,3,273,8,1.90,225.52,15
23,13,15.3,6,10.1,27,3.8,35.7,81,3,471,9,7.00,571.36,7
12,4,15.4,3,12.7,26,4,41,1,2,500,7,3.37,163.63,9
18,7,15.6,1,13.5,23,3.8,43.8,0,3,457,10,0.96,24.71,8
19,14,16.4,2,14.7,17,3.9,29,1,4,1302,11,1.94,169.79,5
11,2,18.8,4,16.4,26,3.7,35.8,7,2,1151,6,4.96,225.7,4
16,13,17.0,2,18.1,22,3.6,37.5,0,3,702,9,1.34,102.52,2
21,3,15.8,0,11.1,24,3.7,50.7,8,3,1266,8,1.80,132.42,15
19,4,15.3,4,11.5,22,3.9,34.3,0,3,510,7,1.01,71.55,13
19,7,15.6,1,15.8,22,3.6,30.8,57,2,836,7,3.93,363.19,13
16,4,14.9,1,13.1,26,3.8,32.3,1,3,689,8,1.99,246.11,12
21,11,15.3,2,13.6,16,3.3,29.9,35,3,791,8,4.39,515.25,11
13,1,15.2,0,11.8,23,3.9,29.6,0,2,472,8,0.09,7.66,5
23,14,15.2,0,6.5,28,3.6,38.7,1,2,621,8,3.17,314.97,7
16,1,16.0,0,15.1,23,3.9,39.9,1,4,459,10,0.36,363.2,12
16,5,15.5,1,13.1,24,3.9,29.9,4,3,252,8,0.51,65.91,1
16,13,15.5,2,12.4,24,3.5,37.5,0,4,361,10,0.65,119.92,15
12,4,15.4,1,14,22,3.6,36.2,0,3,825,9,0.52,64.98,6
12,5,15.8,0,10.5,25,3.9,32.7,0,3,859,8,4.00,367.33,6
16,3,16.2,4,9.1,32,3.4,40,0,4,614,10,1.22,82.62,10
2,2,16.1,0,12,17,3.8,27.9,2,4,608,10,3.13,425.75,1
13,11,15.4,1,9.9,24,4.2,35.5,0,2,889,7,2.22,263.67,5
14,14,14.9,2,10.9,29,3.6,46.4,4,3,655,10,4.45,404.37,1
19,13,15.8,1,10.1,31,3.9,43.1,2,4,1021,10,3.68,230.75,13
12,5,15.5,1,10.5,24,3.5,32.9,0,3,863,8,1.75,145,5
21,10,16.1,2,12.5,31,3.6,49.1,0,3,934,9,1.59,68.26,8
9,5,14.6,3,11.2,25,3.7,47.6,0,2,1280,6,1.86,108.18,12
2,11,16.2,2,10.5,29,3.9,44.7,0,4,740,10,0.22,28.14,9
19,3,16.9,4,13.4,15,3.8,31.7,0,2,837,7,0.49,37.58,13
21,7,15.8,0,10.4,11,3.9,37.9,1,3,1071,8,0.40,100.55,11
16,4,15.8,3,14.6,28,3.6,38.4,0,4,965,10,1.33,60.73,10
3,14,15.8,0,11.6,21,4.1,38.8,0,3,810,9,0.17,22.82,1
16,14,16.0,3,13.2,20,4,30,0,2,777,8,0.24,14.6,14
16,13,15.0,3,10.9,26,3.2,38.2,0,4,488,8,4.83,253.98,3
16,14,15.5,0,15,17,3.5,50.7,0,3,1132,9,0.10,13.91,4
23,11,15.9,2,13.3,20,3.6,29.9,0,3,429,8,0.45,59.04,7
2,5,16.8,2,15,22,3.4,31,6,2,863,6,6.03,647.78,14
16,5,16.5,3,12.6,18,3.6,29.7,33,4,531,10,1.13,102.68,12
16,2,16.2,2,9.3,28,4,34.5,7,4,851,10,3.16,242.95,2
16,5,15.2,4,9.8,21,4.1,35.5,0,2,654,7,2.20,50.61,1
2,2,16.4,2,14.8,20,3.6,24.3,24,4,1541,10,5.17,557.86,9
11,13,14.6,5,14,27,4.1,35,0,2,586,6,0.76,75.09,4
2,2,17.2,5,19.6,18,3.6,29.8,13,3,374,11,1.99,218.21,1
13,11,16.2,1,14,21,3.6,36,0,4,350,11,0.33,31.78,5
14,14,14.9,2,8.6,23,3.9,26.2,2,3,421,10,2.25,263.63,9
21,11,15.3,0,14.3,24,4,24.9,14,2,841,9,2.03,227.62,8
23,11,16.0,0,11.7,19,3.6,48.6,1,2,366,8,1.79,164.97,7
11,14,15.8,1,12.9,20,3.4,29.8,0,4,687,10,1.21,177.62,4
24,11,16.1,0,15.7,25,3.7,47,1,4,513,10,0.78,64.56,13
12,12,15.6,0,11.6,17,3.7,26.3,0,3,491,8,2.04,55.52,6
16,13,15.8,3,8.6,17,3.7,49.2,0,3,822,9,0.99,55.02,1
4,10,15.6,2,12.5,24,3.8,37.8,0,4,449,10,0.96,45.09,13
23,7,15.6,3,9.9,18,3.7,32.2,0,4,825,11,2.92,182.01,7
23,14,15.8,3,8.9,22,3.6,35.9,0,3,732,10,0.69,52.28,7
14,11,16.7,1,16.4,25,4.1,37.2,1,4,637,10,1.62,161.5,9
21,11,16.0,0,9.9,21,3.2,49.2,3,3,749,8,4.47,429.73,8
7,7,15.7,3,13.1,20,3.8,26.6,1,3,475,8,1.99,288.48,15
2,2,16.2,4,10.9,25,3.8,29,1,4,704,10,4.20,501.45,9
23,14,15.4,1,13.3,22,3.8,30.4,41,3,524,9,7.04,879.44,7
14,14,14.5,1,14.5,16,3.2,44.2,1,3,580,8,4.11,493.71,9
16,14,15.0,2,11.1,23,4,43.1,0,3,817,10,1.18,94.96,10
2,2,16.5,2,14.9,24,3.8,24.2,20,4,879,10,0.75,86.79,1
16,4,14.6,4,10.7,21,3.7,50.5,0,2,545,6,1.15,110.23,12
23,13,15.8,3,11.7,16,3.2,34.4,146,3,856,9,5.37,427.53,7
24,7,15.5,1,11.2,22,3.8,46.4,2,3,461,9,3.33,217.32,13
21,2,16.8,0,15.1,16,3.9,30.5,2,3,534,10,1.78,152.09,11
21,7,14.8,3,12,24,3.8,53.6,0,2,309,7,0.59,38.05,15
21,5,15.7,0,15.6,16,3.9,34.8,5,2,517,7,2.43,298.35,6
12,14,14.3,3,10.5,17,4,48.5,0,3,583,8,1.14,124.39,1
16,3,15.0,1,11.5,25,3.7,40.7,0,3,678,9,0.48,31.91,10
12,5,15.0,1,11.9,15,3.8,27.9,0,3,940,8,1.56,256.7,6
21,2,16.3,3,14.5,23,3.8,33.7,4,3,323,10,2.88,406.21,4
17,2,16.5,3,16.3,21,3.6,29.8,1,3,492,9,6.48,379.21,9
3,14,15.5,3,16,26,3.8,33.9,1,3,1161,8,3.26,422.28,1
12,8,15.4,3,9.7,28,3.4,34.5,0,2,543,6,0.24,50.18,14
21,13,16.3,5,12.9,22,4,35.5,10,4,602,11,3.18,354.64,8
21,1,16.2,1,16.2,14,3.9,47.5,1,3,94,8,0.43,53.34,8
22,14,14.9,1,8.1,15,3.9,33,0,4,954,10,0.73,76.25,2
3,5,16.7,2,14.6,22,3.9,25.5,0,3,675,9,1.14,64.96,13
16,5,16.4,2,12.8,16,3.9,43.6,1,2,1096,7,0.75,83.79,10
5,2,16.0,4,12.3,20,3.8,37.7,0,3,468,10,4.24,283.24,10
16,13,15.8,0,9.1,19,4.1,41.4,1,3,1055,9,2.63,190.47,10
24,2,16.0,0,14.2,21,3.6,30.5,0,3,555,8,1.21,126.27,13
16,3,16.4,3,11.3,21,3.6,35.7,45,3,551,8,4.09,352.59,12
12,5,17.4,4,14.9,16,3.6,43,1,2,983,6,1.35,143.96,1
16,7,17.2,0,16.6,20,3.6,46.3,0,2,657,6,0.96,137.85,6
13,14,14.8,1,13.9,24,3.9,33.2,0,3,634,9,1.16,112.74,5
16,14,16.5,0,8.6,20,3.9,19.5,1,3,775,9,8.26,735.41,6
5,1,17.7,3,15,27,3.7,42.6,0,4,523,11,1.27,79.09,15
7,7,14.9,3,13,25,3.9,41.9,32,3,743,8,1.15,124.46,11
16,8,16.5,1,15.3,27,4,30.9,1,3,510,11,3.99,511.39,14
1,9,16.7,3,13.1,21,3.6,48.1,32,3,335,9,4.97,433.51,3
5,10,15.8,1,12.9,18,3.7,40.2,1,3,511,7,7.27,803.93,15
17,13,15.0,3,12.1,22,3.8,47.8,1,3,658,8,4.95,271.92,9
16,5,15.9,2,17.4,19,4,29.3,17,3,1166,8,1.91,227.02,2
3,5,16.8,2,13.5,16,3.7,50.9,1,4,481,10,3.47,125.62,13
14,2,15.7,4,16,24,4.1,33.9,0,4,386,9,2.01,238.2,15
2,2,16.2,1,9.6,20,3.8,37.3,27,3,470,10,3.88,423.78,9
16,8,16.2,4,12.9,21,3.4,22.5,0,3,742,7,2.28,186.77,10
11,5,15.4,0,11.6,20,4.1,25.9,0,3,545,9,1.71,33.14,4
7,5,16.1,3,12.2,14,3.6,38.4,132,2,628,9,7.22,754.9,4
21,2,16.3,0,13.6,20,4,25.1,2,3,1105,8,6.16,755.48,11
21,13,16.4,6,15.3,24,3.9,48.6,1,4,830,11,3.08,276.68,11
24,3,15.8,1,10.5,20,4,42.7,0,3,412,10,2.02,82.56,13
12,5,16.5,0,11.8,25,3.9,34.9,2,4,802,10,6.01,690.19,3
16,7,14.8,0,10.6,11,3.8,25.7,9,3,1321,8,13.30,1882.72,6
24,5,17.2,4,10.6,22,3.8,35.5,0,2,630,6,3.12,176.66,13
7,3,15.1,1,10.3,18,3.8,47.4,0,3,817,10,0.28,9.96,15
3,5,15.0,3,10,24,3.7,38.6,0,2,709,7,0.31,25.33,1
7,3,15.8,2,14.4,20,3.7,44,0,3,964,8,2.36,194.89,15
12,14,15.0,2,11.4,19,3.8,43,2,4,835,10,1.93,204.19,6
17,13,15.3,4,10.1,17,3.7,30.6,0,2,1183,7,1.75,80.26,9
16,4,16.2,3,13,19,3.8,43.2,0,2,599,7,0.26,34.58,14
24,3,16.6,3,16.7,22,3.6,46.2,27,2,981,9,2.06,160.66,13
8,14,15.2,0,12.3,20,3.7,27.4,1,3,379,9,1.55,191.8,8
1,3,16.1,1,10.8,22,3.7,28.7,50,3,843,9,4.31,386.03,1
13,13,16.4,3,12.3,21,3.6,28.2,13,4,600,11,1.66,125.44,5
2,7,16.0,1,10.7,22,4.1,20.7,0,2,1209,8,3.09,254.51,15
23,2,16.2,6,10.7,32,3.9,12.1,2,5,969,11,2.85,165.44,10
21,5,15.7,0,11.5,19,3.7,33.3,17,2,567,8,0.91,235.66,8
23,10,15.8,2,13.3,24,3.9,22.4,1,3,894,8,1.72,54.22,7
19,14,15.9,1,11.9,21,3.1,25.9,122,3,409,9,1.16,75.12,5
23,13,16.5,4,12.9,19,3.6,36.8,1,4,1374,11,3.47,312.52,7
23,13,15.5,5,11.1,23,4,25.9,3,3,405,10,1.48,125.64,7
3,5,15.7,0,14.5,19,3.8,43.3,62,3,713,8,5.83,477.2,3
17,11,16.3,0,12.1,18,3.9,28,1,4,859,10,4.37,118.15,9
13,3,16.3,0,12.4,21,3.9,46.6,1,3,1271,9,1.68,233.81,8
23,7,15.8,2,12.4,19,4,36.3,0,3,700,8,1.62,118.76,7
14,13,15.7,4,10,31,4.1,43,0,3,188,7,2.26,128.25,11
5,14,16.7,2,13.3,21,3.9,26,0,3,715,9,0.19,36.58,10
19,7,15.5,0,12.5,24,3.9,47.3,0,2,800,7,0.71,41.91,13
12,4,15.5,0,9.9,22,3.8,26.8,0,2,408,8,1.51,118.29,12
22,14,15.5,0,14.5,21,3.9,7.9,3,3,1026,9,11.36,1663.25,2
21,5,15.8,4,10.1,23,4,43.1,6,4,876,10,1.61,184.55,6
14,7,15.6,1,11.1,21,3.9,30.4,23,3,264,9,10.13,1255.86,11
1,7,14.5,3,10.5,17,3.9,28.3,4,2,1251,8,4.53,244.8,13
21,5,15.8,0,14.7,18,3.7,38.6,0,3,909,9,0.37,42.21,8
14,14,15.5,0,11.1,17,3.7,25.3,31,2,683,7,2.95,352.45,15
16,4,15.1,2,8.1,22,3.6,30.9,2,4,358,10,3.52,128.87,12
11,2,16.0,0,13,17,3.7,27.3,2,2,755,8,8.52,630.97,4
21,5,16.6,3,12.9,27,4.1,25.6,8,2,370,7,6.73,649.8,4
19,13,16.3,4,13.4,23,3.6,33.8,0,3,378,11,0.94,28.62,13
15,14,14.7,3,9,24,3.8,36.1,0,2,407,6,0.28,18.87,7
7,13,15.7,3,12.3,24,3.7,43.8,1,2,457,7,1.80,309.11,15
24,11,16.0,2,12.2,22,3.6,42.2,3,3,833,10,4.25,380.88,13
2,13,15.6,2,11.8,23,3.9,30.5,32,3,824,10,2.46,316.48,10
17,13,15.1,4,13,22,3.4,39.6,0,3,560,7,0.33,15.28,9
21,11,16.5,2,9,22,3.9,18.3,1,3,578,7,2.12,233.28,8
23,13,15.3,0,12.6,20,4,25.4,9,3,782,8,4.92,493.09,7
13,11,15.8,1,9.3,18,3.8,40.6,0,3,747,10,0.24,20.57,5
19,14,15.1,3,11.1,15,3.7,34.8,0,2,481,7,0.60,97.19,5
16,8,16.6,1,12.2,21,4,35.7,1,2,1019,7,0.62,127.56,12
16,5,15.5,1,8.2,23,4.1,18.1,3,3,2334,7,4.75,535.44,14
12,5,16.0,2,12.3,23,3.5,28.2,22,3,936,8,4.34,475.88,2
16,14,15.3,2,12.1,17,3.3,56.3,1,2,741,7,3.63,605.33,9
16,4,17.1,4,16.2,22,3.6,29,3,3,661,6,3.44,257.18,1
21,6,16.1,4,9.9,12,3.7,40.4,0,2,484,7,1.01,93.86,11
11,2,17.1,3,17.2,23,3.9,34.2,1,5,603,11,3.30,212.28,4
12,4,15.4,3,10.8,21,3.8,26.8,4,3,635,9,13.97,1396.97,6
5,11,16.4,0,13.7,21,3.7,31,1,3,1167,8,8.78,621.91,15
24,5,17.1,1,15.4,18,3.9,37.6,0,3,595,6,0.96,75.09,13
23,11,16.6,1,13.7,20,3.7,46.1,0,3,748,9,0.68,83.52,7
16,7,14.8,3,14.5,24,4,35.2,2,3,307,10,3.09,298.19,6
23,3,15.9,0,13.5,17,3.7,29.1,1,2,862,8,3.17,230.47,11
24,7,16.6,3,13.6,22,3.8,41,0,4,207,11,3.33,147.67,13
19,14,15.3,3,9.3,17,3.7,40.3,0,3,1191,7,2.24,156.18,13
24,7,16.2,4,12.6,23,3.7,40.8,1,3,733,6,6.68,532.28,13
16,1,15.7,0,11.1,20,3.9,34.6,1,3,674,9,1.99,282.5,10
7,3,16.2,3,11.3,22,3.6,32.4,0,3,917,11,0.41,37.11,11
16,7,16.0,2,12.3,21,3.9,30.4,0,3,480,10,0.56,210.14,12
12,5,15.4,3,9.7,24,3.9,28,1,2,846,8,0.85,86.15,1
17,13,15.8,2,10.3,28,3.9,40.6,0,2,594,8,0.39,30.02,9
16,9,17.6,0,14.5,23,3.8,24.8,3,3,518,7,7.51,998.08,12
21,13,15.9,1,14.3,21,3.7,34.2,3,4,756,10,4.59,459.58,11
7,7,14.8,0,12.9,24,3.4,27.1,2,4,296,10,3.17,304.54,11
2,5,15.9,2,15,28,3.8,49.4,0,3,638,10,0.64,53.08,15
2,7,16.5,3,11.3,21,3.9,20.4,5,4,453,11,5.55,502.85,14
19,2,15.5,2,12.6,18,3.7,35.7,2,3,335,9,6.89,499.25,5
24,13,16.9,2,13.4,16,3.7,21.7,0,3,493,10,0.58,32.93,13
12,14,15.7,3,10.5,24,3.8,35.5,35,3,868,10,3.00,326.19,1
16,13,15.8,1,12.6,25,3.5,23.2,0,3,722,9,0.46,44.72,10
11,3,16.2,1,16.4,19,3.8,28,0,4,675,11,0.36,78.11,4
14,7,15.5,5,10.2,26,3.5,43.8,105,4,1004,9,7.29,564.68,11
15,14,15.1,2,10.9,27,3.4,36.1,0,4,670,10,0.56,57.02,1
16,5,16.3,0,13.4,23,3.7,39,3,2,740,6,1.36,84.9,6
11,13,16.0,2,13.2,19,3.7,41.9,0,3,658,8,1.65,95,4
19,2,15.9,4,11.2,19,3.8,29.5,1,4,879,10,6.31,311.5,13
21,5,17.2,4,10.8,17,3.7,47.8,0,2,436,6,0.92,125.03,4
7,13,15.7,0,11.5,19,3.7,44.6,1,4,1257,10,1.44,140.95,15
16,5,15.4,3,11.5,28,3.6,25.3,0,3,539,8,0.19,41.82,10
12,3,15.2,1,9.8,22,3.7,29.5,0,2,1378,7,0.65,66.69,3
21,11,16.7,2,12.5,24,3.8,37.2,0,3,442,10,0.77,74.75,8
21,3,16.6,4,9.5,30,3.8,34.7,1,4,930,11,0.43,26.54,15
12,8,15.2,1,10.5,16,4,29,0,3,765,9,1.13,83.27,5
23,13,15.8,4,8.4,26,4,24.8,0,4,84,10,1.64,166.15,10
14,14,15.5,3,11.6,21,3.9,47.8,32,3,1329,7,1.50,171.01,15
2,3,16.1,3,14.6,18,3.7,28.9,0,4,1060,10,0.69,73.47,15
10,13,15.8,4,11.3,28,3.7,37.5,1,3,540,10,4.51,450,5
21,5,15.3,2,15.4,23,3.7,41,57,2,615,8,1.74,289.15,6
7,7,15.4,1,9.6,12,3.8,29.4,2,2,945,7,4.08,488.06,15
12,4,15.2,4,10.9,14,3.9,16.7,2,3,770,7,3.11,346.33,3
16,5,15.6,0,11,19,3.8,27.4,1,3,993,7,1.37,383.84,12
21,5,16.0,0,14.5,10,4,43.7,0,2,520,8,1.23,144.31,11
24,7,16.4,1,16.1,30,3.6,55.1,0,2,382,6,0.61,51.76,13
19,11,16.2,2,15.9,20,3.6,44.9,0,3,1019,10,0.74,44.76,13
13,7,14.3,2,9.9,23,3.3,34,2,3,1118,8,5.53,578.93,8
24,13,17.3,4,14.4,24,3.8,44.9,77,3,531,8,2.08,131.47,7
15,2,15.6,4,12.8,27,3.9,45.9,4,3,375,6,4.47,203.54,7
21,5,15.4,2,10.7,24,3.2,29.6,0,3,821,8,3.03,348.39,8
23,13,15.8,1,13.9,26,3.9,41.9,0,3,750,8,0.38,102.83,7
14,14,14.7,0,10.8,19,3.8,39.5,1,3,469,8,0.48,271.04,7
7,14,15.0,2,9.2,22,3.5,22.6,1,4,1043,10,0.45,43.57,15
11,3,16.1,4,10.5,21,3.9,46.7,40,3,862,8,0.69,163.37,4
14,2,17.0,4,17.6,23,3.9,34,0,4,1160,11,2.02,174.36,11
5,2,16.0,2,14.6,24,3.9,32.9,2,2,377,8,6.32,640.14,15
5,2,16.7,2,13.3,24,4,46.7,0,3,1083,10,1.08,41.73,15
2,2,16.1,2,15.5,19,3.7,36.1,0,3,1046,10,0.74,71.51,15
16,14,15.5,2,12.4,19,3.9,26.2,19,3,737,10,4.99,536.66,10
12,5,15.8,1,11.3,19,3.2,23.3,55,2,943,8,7.16,931.17,5
21,7,15.3,3,13.6,25,3.8,29.6,0,2,741,6,3.61,330.91,11
12,4,14.6,6,9.3,12,4.2,26.3,1,2,1276,6,4.26,302.05,6
13,11,15.6,1,9.6,15,4,34.9,0,4,614,10,2.28,241.14,5
14,2,16.8,1,13.2,24,3.5,26.8,4,4,573,11,2.72,189.42,11
15,13,16.4,0,10.4,24,3.8,38.4,0,4,964,9,0.31,4.05,1
16,8,15.4,4,10.3,23,3.9,42,0,2,595,6,4.49,346.34,14
23,14,14.6,3,13.3,24,3.7,27,0,4,1279,10,0.24,34.43,11
16,4,15.0,1,14.4,20,3.7,44.2,0,3,1007,9,0.62,42.01,12
24,14,15.8,1,10.7,18,3.8,35.8,0,3,445,10,0.25,37.19,13
7,13,15.2,0,8.6,24,3.9,34.2,1,3,714,10,6.00,503.95,15
22,11,16.2,2,13.2,25,3.5,21.8,115,3,778,8,5.63,641.45,2
17,7,14.5,0,7.7,14,4.1,36.8,34,3,259,9,8.82,869.8,9
10,14,15.6,2,10.4,21,4.1,48.2,5,3,817,7,1.95,269.64,3
16,4,15.7,0,12.4,25,3.9,33.3,0,3,646,7,1.06,32.61,12
7,5,16.4,2,15.9,20,3.5,28.5,0,5,587,11,1.94,85.54,4
21,7,14.9,1,10,18,4,21.1,3,3,763,8,3.34,411.06,8
23,13,16.1,1,16,19,3.6,30.4,7,3,753,9,9.72,882.16,7
7,5,15.9,2,13.8,20,4,27.2,17,4,568,11,5.03,358.75,4
16,6,15.3,4,9.5,21,3.7,24.5,0,3,672,9,2.17,196.01,1
7,14,15.7,3,9.8,21,3.7,33.3,0,3,678,7,1.53,208.95,4
23,1,16.8,4,14.2,26,3,43.5,4,4,846,11,4.50,264.72,10
16,1,16.5,4,13.2,27,4,46.1,0,5,826,11,0.91,66.38,3
19,13,15.4,0,12.7,17,3.4,34,0,3,401,8,0.20,57,13
24,8,16.2,0,16.5,19,4,35.2,0,3,356,10,0.56,61.84,7
5,7,16.2,4,9.5,23,3.4,35.4,0,4,1055,11,1.32,167.17,4
16,3,16.7,1,18,20,3.9,43.4,0,3,775,9,0.43,41.04,12
12,14,15.2,0,9.9,22,3.6,29.6,36,3,1225,9,2.14,229.13,1
19,5,15.5,1,10.5,15,3.7,27.6,0,2,368,7,1.17,111.79,13
18,7,16.2,0,14.2,18,3.5,57.2,0,4,846,10,0.50,49.11,11
21,13,16.0,2,10.9,21,3.8,21.7,2,4,892,11,8.78,808.44,8
16,1,15.2,2,8.9,29,3.6,35.9,0,3,614,9,0.57,20.76,10
21,5,16.7,4,13.5,26,3.8,42.2,3,2,565,6,5.54,436.08,8
5,3,16.8,0,13.9,20,3.8,30.2,0,4,905,11,0.95,14.9,15
7,14,15.7,3,13.1,21,3.8,52.4,0,3,435,7,0.39,35.85,11
5,12,16.1,2,10.1,18,3.9,45.5,0,4,251,10,0.37,31.33,10
15,5,15.0,3,11.3,19,3.5,44.9,4,3,543,6,1.90,208.9,7
11,11,16.2,3,12.6,19,3.8,27.9,0,3,944,7,0.85,34.72,4
12,5,16.2,1,14.3,20,3.8,35.4,0,2,908,7,0.37,46.56,1
17,14,14.3,2,7.1,22,3.6,39.9,0,3,477,8,2.09,145.67,9
21,3,16.2,2,9.2,27,3.8,48.2,0,3,738,10,5.65,314.67,8
23,2,15.4,6,13.3,21,4,43.7,0,2,588,6,1.96,147.31,7
16,4,15.4,2,12.2,23,3.8,30.9,38,3,834,7,2.42,273.79,1
5,5,14.6,6,10.7,26,4.2,38.4,0,2,338,6,2.26,220.28,15
24,13,15.2,1,13.6,23,4,30.5,10,3,1156,8,2.65,216.29,13
19,3,16.2,2,11.6,20,3.5,38,0,3,965,10,0.48,22.9,13
13,13,15.6,3,10.3,24,4,26.3,54,4,1153,9,9.19,919.95,9
12,14,14.8,1,12.1,20,4,25.8,1,3,642,10,4.48,470.35,1
7,4,16.9,3,12.9,20,4,56.4,0,4,665,11,0.89,16.79,4
11,5,15.3,4,10.8,25,3.4,36.6,6,2,1027,9,7.11,305.76,4
24,13,15.9,1,12.1,17,3.8,45.6,68,3,262,8,3.91,421.51,13
21,7,15.5,0,10.4,13,3.8,30.2,2,2,420,8,3.30,412.14,8
2,5,15.0,2,13.8,23,3.5,31.2,4,3,1198,8,4.25,568.43,14
7,11,16.1,2,14,21,3.8,30.7,0,4,683,10,1.10,87.65,15
5,13,16.3,4,10.4,21,3.4,20.2,2,2,809,6,2.78,306.77,8
16,5,15.2,2,16.8,21,3.8,29.7,0,3,568,8,2.50,143.94,11
2,2,16.9,1,13.3,23,3.9,19.3,36,3,1211,9,5.00,542.14,9
16,1,18.3,3,16.5,21,3.7,26.6,0,2,948,6,1.19,72.12,10
19,14,15.9,4,14.2,25,3.6,34,0,3,904,9,0.47,28.41,5
21,13,16.0,3,15.5,22,3.9,44.6,28,4,303,10,2.72,168.47,2
18,13,16.5,5,13.3,30,3.7,35.7,2,4,707,11,8.89,543.82,1
16,14,15.9,2,12.5,13,4,45.4,23,3,407,7,6.83,933.53,9
23,13,15.6,3,13.2,15,4,26.5,0,3,656,10,1.58,132.53,7
7,11,15.9,0,17.6,15,3.7,38.6,47,2,569,7,0.34,57.24,15
21,3,15.8,4,15.6,24,3.8,40.3,0,2,480,10,0.51,87.86,11
16,12,15.7,1,14.3,20,3.9,34.5,7,2,230,8,9.09,1348.37,14
24,3,16.8,2,15.5,23,3.5,49,0,4,720,9,0.66,40.44,7
16,14,16.3,0,13.4,17,4,30.4,1,2,482,7,5.00,448.08,12
21,13,16.3,4,15.2,23,3.9,49.2,1,3,830,11,3.94,222.34,8
3,14,14.9,0,10.9,22,3.7,49.5,0,3,770,10,0.44,34.84,3
21,5,15.6,0,12.6,19,3.6,37,44,3,965,9,3.92,140.75,11
6,5,15.4,5,11.4,24,3.7,40.3,1,2,733,7,2.96,230.81,3
16,9,15.1,4,10.8,19,3.9,38.2,0,2,899,7,0.85,91.78,12
11,5,15.0,0,9.2,14,3.5,40.6,0,2,612,8,3.21,220.53,4
16,14,15.3,0,12.7,23,3.8,38.6,1,3,723,9,2.25,334.95,2
2,5,15.2,0,10.2,19,3.9,26.9,8,3,601,8,8.93,823.53,7
21,3,16.9,3,12.1,17,3.7,40.2,0,3,688,10,0.62,46.33,4
13,3,18.3,2,15.4,26,3.8,44.1,0,2,245,6,0.93,98.46,5
2,13,15.5,3,12.9,18,3.5,41.1,0,4,1507,10,0.45,65.98,10
18,1,17.0,4,14.7,19,3.9,52.9,0,5,806,11,0.43,45.63,9
14,7,15.8,0,14.4,20,3.5,30,1,3,633,9,1.30,125.45,15
14,2,16.1,3,10.9,22,3.7,32.1,1,3,741,10,2.83,202.42,15
16,3,15.6,0,9.8,14,3.9,39.2,1,2,393,8,0.48,126.37,14
16,7,16.3,3,11.2,18,3.8,42.9,0,3,1325,9,1.29,97.54,10
13,13,15.7,0,12.8,22,4,32.6,1,3,745,9,2.39,237.57,5
13,13,16.4,4,14.4,22,3.7,34.7,11,4,444,11,4.61,368.64,9
23,13,15.8,0,12.6,24,2.7,29.1,77,3,467,9,4.58,383.99,7
